a,b,c,d
6005 -ÿEscalos de Baixo,1,6,"6,"
6005 -ÿEscalos de Cima,1,7,"7,"
6000 -ÿFreixial do Campo,1,8,"8,"
6000 -ÿJuncal do Campo,1,9,"9,"
6005 -ÿLardosa,1,10,"10,"
6005 -ÿLouri‡al do Campo,1,11,"11,"
6005 -ÿLousa,1,12,"12,"
6000 -ÿMalpica do Tejo,1,13,"13,"
6005 -ÿMata,1,14,"14,"
6000 -ÿMonforte da Beira,1,15,"15,"
6000 -ÿNinho do A‡or,1,16,"16,"
6000 -ÿP¢voa de Rio de Moinhos,1,17,"17,"
6000 -ÿRetaxo,1,18,"18,"
6000 -ÿSalgueiro do Campo,1,19,"19,"
6000 -ÿSanto Andr‚ das Tojeiras,1,20,"20,"
6005 -ÿSÆo Vicente da Beira,1,21,"21,"
6000 -ÿSarzedas,1,22,"22,"
6000 -ÿSobral do Campo,1,23,"23,"
6000 -ÿTinalhas,1,24,"24,"
CovilhÆÿmunicipality[edit],0,25,"25,"
6200 -ÿVila do Carvalho,1,0,"0,"
6225 -ÿAldeia SÆo Francisco Assis,1,1,"1,"
6200 -ÿAldeia do Souto,1,2,"2,"
6215 -ÿBarco,1,3,"3,"
6200 -ÿBoidobra,1,4,"4,"
6225 -ÿCasegas,1,5,"5,"
6200 -ÿConcei‡Æo,1,6,"6,"
6215 -ÿCortes do Meio,1,7,"7,"
6200 -ÿDominguizo,1,8,"8,"
6215 -ÿErada,1,9,"9,"
6200 -ÿFerro,1,10,"10,"
6200 -ÿOrjais,1,11,"11,"
6230 -ÿOurondo,1,12,"12,"
6215 -ÿPaul,1,13,"13,"
6200 -ÿPeraboa,1,14,"14,"
6200 -ÿPeso,1,15,"15,"
6200 -ÿSanta Maria,1,16,"16,"
6225 -ÿSÆo Jorge da Beira,1,17,"17,"
6200 -ÿSÆo Martinho,1,18,"18,"
6200 -ÿSÆo Pedro,1,19,"19,"
6200 -ÿSarzedo,1,20,"20,"
6225 -ÿSobral de SÆo Miguel,1,21,"21,"
6200 -ÿTeixoso,1,22,"22,"
6200 -ÿTortosendo,1,23,"23,"
6215 -ÿUnhais da Serra,1,24,"24,"
6200 -ÿVale Formoso,1,25,"25,"
6200 -ÿVerdelhos,1,26,"26,"
6200 -ÿVales do Rio,1,27,"27,"
6215 -ÿCoutada,1,28,"28,"
6200 -ÿCantar-Galo,1,29,"29,"
6200 -ÿCanhoso,1,30,"30,"
FundÆo Municipality[edit],0,31,"31,"
6230 -ÿAlcaide,1,0,"0,"
6230 -ÿAlcaria,1,1,"1,"
6230 -ÿAlcongosta,1,2,"2,"
6230 -ÿAldeia de Joanes,1,3,"3,"
6230 -ÿAldeia Nova do Cabo,1,4,"4,"
6230 -ÿAlpedrinha,1,5,"5,"
6230 -ÿAtalaia do Campo,1,6,"6,"
6230 -ÿBarroca,1,7,"7,"
6185 -ÿBogas de Baixo,1,8,"8,"
6230 -ÿBogas de Cima,1,9,"9,"
6230 -ÿCapinha,1,10,"10,"
6230 -ÿCastelejo,1,11,"11,"
6230 -ÿCastelo Novo,1,12,"12,"
6230 -ÿDonas,1,13,"13,"
6230 -ÿEscarigo,1,14,"14,"
6230 -ÿFatela,1,15,"15,"
6230 -ÿFundÆo,1,16,"16,"
6185 -ÿJaneiro de Cima,1,17,"17,"
6230 -ÿLavacolhos,1,18,"18,"
6230 -ÿOrca,1,19,"19,"
6230 -ÿPˆro Viseu,1,20,"20,"
6230 -ÿP¢voa de Atalaia,1,21,"21,"
6230 -ÿSalgueiro,1,22,"22,"
6230 -ÿSilvares,1,23,"23,"
6005 -ÿSoalheira,1,24,"24,"
6230 -ÿSouto da Casa,1,25,"25,"
6230 -ÿTelhado,1,26,"26,"
6230 -ÿVale de Prazeres,1,27,"27,"
6230 -ÿValverde,1,28,"28,"
6230 -ÿMata da Rainha,1,29,"29,"
6230 -ÿEnxames,1,30,"30,"
Idanha-a-Novaÿmunicipality[edit],0,31,"31,"
6060 -ÿAlcafozes,1,0,"0,"
6060 -ÿAldeia de Santa Margarida,1,1,"1,"
6060 -ÿIdanha-a-Nova,1,2,"2,"
6060 -ÿIdanha-a-Velha,1,3,"3,"
6060 -ÿLadoeiro,1,4,"4,"
6060 -ÿMedelim,1,5,"5,"
6060 -ÿMonfortinho,1,6,"6,"
6060 -ÿMonsanto,1,7,"7,"
6060 -ÿOledo,1,8,"8,"
6060 -ÿPenha Garcia,1,9,"9,"
6060 -ÿProen‡a-a-Velha,1,10,"10,"
6060 -ÿRosmaninhal,1,11,"11,"
6060 -ÿSalvaterra do Extremo,1,12,"12,"
6060 -ÿSÆo Miguel de Acha,1,13,"13,"
6060 -ÿSegura,1,14,"14,"
6060 -ÿTouläes,1,15,"15,"
6060 -ÿZebreira,1,16,"16,"
Oleiros Municipality[edit],0,17,"17,"
6160 -ÿµlvaro,1,0,"0,"
6160 -ÿAmieira,1,1,"1,"
6185 -ÿCambas,1,2,"2,"
6160 -ÿEstreito,1,3,"3,"
6160 -ÿIsna,1,4,"4,"
6160 -ÿMadeirÆ,1,5,"5,"
6160 -ÿMosteiro,1,6,"6,"
6160 -ÿOleiros,1,7,"7,"
6185 -ÿOrvalho,1,8,"8,"
6160 -ÿSarnadas de SÆo SimÆo,1,9,"9,"
6160 -ÿSobral,1,10,"10,"
6185 -ÿVilar Barroco,1,11,"11,"
Penamacorÿmunicipality[edit],0,12,"12,"
6090 -ÿµguas,1,0,"0,"
6090 -ÿAldeia do Bispo,1,1,"1,"
6090 -ÿAldeia de JoÆo Pires,1,2,"2,"
6090 -ÿAranhas,1,3,"3,"
6090 -ÿBemposta,1,4,"4,"
6090 -ÿBenqueren‡a,1,5,"5,"
6320 -ÿMeimÆo,1,6,"6,"
6090 -ÿMeimoa,1,7,"7,"
6090 -ÿPedr¢gÆo de SÆo Pedro,1,8,"8,"
6090 -ÿPenamacor,1,9,"9,"
6090 -ÿSalvador,1,10,"10,"
6090 -ÿVale da Senhora da P¢voa,1,11,"11,"
Proen‡a-a-Novaÿmunicipality[edit],0,12,"12,"
6150 -ÿAlvito da Beira,1,0,"0,"
6150 -ÿMontes da Senhora,1,1,"1,"
6150 -ÿPeral,1,2,"2,"
6150 -ÿProen‡a-a-Nova,1,3,"3,"
6150 -ÿSÆo Pedro do Esteval,1,4,"4,"
6150 -ÿSobreira Formosa,1,5,"5,"
SertÆÿmunicipality[edit],0,6,"6,"
6100 -ÿCabe‡udo,1,0,"0,"
6100 -ÿCarvalhal,1,1,"1,"
6100 -ÿCastelo,1,2,"2,"
6100 -ÿCernache do Bonjardim,1,3,"3,"
6100 -ÿCumeada,1,4,"4,"
6100 -ÿErmida,1,5,"5,"
6100 -ÿFigueiredo,1,6,"6,"
6100 -ÿMarmeleiro,1,7,"7,"
6100 -ÿNesperal,1,8,"8,"
6100 -ÿPalhais,1,9,"9,"
6100 -ÿPedr¢gÆo Pequeno,1,10,"10,"
6100 -ÿSertÆ,1,11,"11,"
6100 -ÿTroviscal,1,12,"12,"
6100 -ÿV rzea dos Cavaleiros,1,13,"13,"
Vila de Reiÿmunicipality[edit],0,14,"14,"
6110 -ÿFundada,1,0,"0,"
6110 -ÿSÆo JoÆo do Peso,1,1,"1,"
6110 -ÿVila de Rei,1,2,"2,"
Vila Velha de R¢dÆoÿmunicipality[edit],0,3,"3,"
6030 -ÿFratel,1,0,"0,"
6030 -ÿPerais,1,1,"1,"
6030 -ÿSarnadas de RodÆo,1,2,"2,"
6030 -ÿVila Velha de R¢dÆo,1,3,"3,"
,0,4,"4,"
Coimbra District[edit],0,0,"0,"
Arganilÿmunicipality[edit],0,0,"0,"
3305 -ÿAnceriz,1,0,"0,"
3300 -ÿArganil,1,1,"1,"
3305 -ÿBarril de Alva,1,2,"2,"
3305 -ÿBenfeita,1,3,"3,"
3300 -ÿCelavisa,1,4,"4,"
3300 -ÿCepos,1,5,"5,"
3305 -ÿCerdeira,1,6,"6,"
3305 -ÿCoja,1,7,"7,"
3300 -ÿFolques,1,8,"8,"
3305 -ÿMoura da Serra,1,9,"9,"
6285 -ÿPi¢dÆo,1,10,"10,"
3305 -ÿPomares,1,11,"11,"
3300 -ÿPombeiro da Beira,1,12,"12,"
3300 -ÿSÆo Martinho da Corti‡a,1,13,"13,"
3300 -ÿSarzedo,1,14,"14,"
3300 -ÿSecarias,1,15,"15,"
3300 -ÿTeixeira,1,16,"16,"
3305 -ÿVila Cova de Alva,1,17,"17,"
Cantanhedeÿmunicipality[edit],0,18,"18,"
3060 -ÿAn‡Æ,1,0,"0,"
3060 -ÿBolho,1,1,"1,"
3060 -ÿCadima,1,2,"2,"
3060 -ÿCantanhede,1,3,"3,"
3060 -ÿCordinhÆ,1,4,"4,"
3060 -ÿCoväes,1,5,"5,"
3060 -ÿFebres,1,6,"6,"
3060 -ÿMurtede,1,7,"7,"
3060 -ÿOurentÆ,1,8,"8,"
3060 -ÿOutil,1,9,"9,"
3060 -ÿPocari‡a,1,10,"10,"
3060 -ÿPortunhos,1,11,"11,"
3060 -ÿSepins,1,12,"12,"
3060 -ÿTocha,1,13,"13,"
3060 -ÿSÆo Caetano,1,14,"14,"
3060 -ÿCorticeiro de Cima,1,15,"15,"
3060 -ÿVilamar,1,16,"16,"
3060 -ÿSanguinheira,1,17,"17,"
3060 -ÿCamarneira,1,18,"18,"
Coimbra Municipality[edit],0,19,"19,"
3040 -ÿAlmalaguˆs,1,0,"0,"
3004 -ÿAlmedina,1,1,"1,"
3045 -ÿAmeal,1,2,"2,"
3040 -ÿAntanhol,1,3,"3,"
3025 -ÿAntuzede,1,4,"4,"
3045 -ÿArzila,1,5,"5,"
3040 -ÿAssafarge,1,6,"6,"
3020 -ÿBotÆo,1,7,"7,"
3020 -ÿBrasfemes,1,8,"8,"
3040 -ÿCastelo Viegas,1,9,"9,"
3030 -ÿCeira,1,10,"10,"
3040 -ÿCernache,1,11,"11,"
3020 -ÿEiras,1,12,"12,"
3025 -ÿLamarosa,1,13,"13,"
3045 -ÿRibeira de Frades,1,14,"14,"
3040 -ÿSanta Clara,1,15,"15,"
3000 -ÿSanta Cruz,1,16,"16,"
3000 -ÿSanto Ant¢nio dos Olivais,1,17,"17,"
3000 -ÿSÆo Bartolomeu,1,18,"18,"
3025 -ÿSÆo JoÆo do Campo,1,19,"19,"
3025 -ÿSÆo Martinho de µrvore,1,20,"20,"
3045 -ÿSÆo Martinho do Bispo,1,21,"21,"
3030 -ÿSÆo Paulo de Frades,1,22,"22,"
3025 -ÿSÆo Silvestre,1,23,"23,"
3000 -ÿS‚ Nova,1,24,"24,"
3020 -ÿSouselas,1,25,"25,"
3045 -ÿTaveiro,1,26,"26,"
3020 -ÿTorre de Vilela,1,27,"27,"
3030 -ÿTorres do Mondego,1,28,"28,"
3025 -ÿTrouxemil,1,29,"29,"
3025 -ÿVil de Matos,1,30,"30,"
Condeixa-a-Novaÿmunicipality[edit],0,31,"31,"
3150 -ÿAnobra,1,0,"0,"
3150 -ÿBelide,1,1,"1,"
3150 -ÿBem da F‚,1,2,"2,"
3150 -ÿCondeixa-a-Nova,1,3,"3,"
3150 -ÿCondeixa-a-Velha,1,4,"4,"
3150 -ÿEga,1,5,"5,"
3150 -ÿFuradouro,1,6,"6,"
3150 -ÿSebal,1,7,"7,"
3150 -ÿVila Seca,1,8,"8,"
3150 -ÿZambujal,1,9,"9,"
Figueira da Fozÿmunicipality[edit],0,10,"10,"
3090 -ÿAlhadas,1,0,"0,"
3090 -ÿAlqueidÆo,1,1,"1,"
3080 -ÿBrenha,1,2,"2,"
3080 -ÿBuarcos,1,3,"3,"
3090 -ÿFerreira-a-Nova,1,4,"4,"
3090 -ÿLavos,1,5,"5,"
3090 -ÿMaiorca,1,6,"6,"
3090 -ÿMarinha das Ondas,1,7,"7,"
3090 -ÿPaiÆo,1,8,"8,"
3080 -ÿQuiaios,1,9,"9,"
3080 -ÿSÆo JuliÆo (Figueira da Foz),1,10,"10,"
3080 -ÿTavarede,1,11,"11,"
3090 -ÿVila Verde,1,12,"12,"
3090 -ÿSÆo Pedro,1,13,"13,"
3080 -ÿBom Sucesso,1,14,"14,"
3090 -ÿSantana,1,15,"15,"
3090 -ÿBorda do Campo,1,16,"16,"
3090 -ÿMoinhos da Gƒndara,1,17,"17,"
G¢isÿmunicipality[edit],0,18,"18,"
3330 -ÿAlvares,1,0,"0,"
3330 -ÿCadafaz,1,1,"1,"
3330 -ÿColmeal,1,2,"2,"
3330 -ÿG¢is,1,3,"3,"
3330 -ÿVila Nova do Ceira,1,4,"4,"
LousÆÿmunicipality[edit],0,5,"5,"
3200 -ÿCasal de Ermio,1,0,"0,"
3200 -ÿFoz de Arouce,1,1,"1,"
3200 -ÿLousÆ,1,2,"2,"
3200 -ÿSerpins,1,3,"3,"
3200 -ÿVilarinho,1,4,"4,"
3200 -ÿGƒndaras,1,5,"5,"
Mira Municipality[edit],0,6,"6,"
3070 -ÿMira,1,0,"0,"
3070 -ÿSeixo,1,1,"1,"
3070 -ÿCarapelhos,1,2,"2,"
3070 -ÿPraia de Mira,1,3,"3,"
Miranda do Corvoÿmunicipality[edit],0,4,"4,"
3220 -ÿLamas,1,0,"0,"
3220 -ÿMiranda do Corvo,1,1,"1,"
3220 -ÿRio Vide,1,2,"2,"
3220 -ÿSemide,1,3,"3,"
3220 -ÿVila Nova,1,4,"4,"
Montemor-o-Velhoÿmunicipality[edit],0,5,"5,"
3140 -ÿAbrunheira,1,0,"0,"
3140 -ÿArazede,1,1,"1,"
3140 -ÿCarapinheira,1,2,"2,"
3140 -ÿGatäes,1,3,"3,"
3140 -ÿLiceia,1,4,"4,"
3140 -ÿMeÆs do Campo,1,5,"5,"
3140 -ÿMontemor-o-Velho,1,6,"6,"
3140 -ÿPereira,1,7,"7,"
3140 -ÿSanto VarÆo,1,8,"8,"
3140 -ÿSeixo de Gatäes,1,9,"9,"
3140 -ÿTent£gal,1,10,"10,"
3140 -ÿVerride,1,11,"11,"
3140 -ÿVila Nova da Barca,1,12,"12,"
3140 -ÿEreira,1,13,"13,"
Oliveira do Hospitalÿmunicipality[edit],0,14,"14,"
3400 -ÿAldeia das Dez,1,0,"0,"
3400 -ÿAlvoco das V rzeas,1,1,"1,"
3400 -ÿAv“,1,2,"2,"
3405 -ÿBobadela,1,3,"3,"
3405 -ÿErvedal,1,4,"4,"
3405 -ÿLagares da Beira,1,5,"5,"
3405 -ÿLagos da Beira,1,6,"6,"
3405 -ÿLajeosa,1,7,"7,"
3400 -ÿLourosa,1,8,"8,"
3405 -ÿMeruge,1,9,"9,"
3400 -ÿNogueira do Cravo,1,10,"10,"
3400 -ÿOliveira do Hospital,1,11,"11,"
3400 -ÿPenalva de Alva,1,12,"12,"
3400 -ÿSanta Ovaia,1,13,"13,"
3400 -ÿSÆo GiÆo,1,14,"14,"
3400 -ÿSÆo Paio de Grama‡os,1,15,"15,"
3400 -ÿSÆo SebastiÆo da Feira,1,16,"16,"
3405 -ÿSeixo da Beira,1,17,"17,"
3405 -ÿTravanca de Lagos,1,18,"18,"
3400 -ÿVila Pouca da Beira,1,19,"19,"
3405 -ÿVila Franca da Beira,1,20,"20,"
Pampilhosa da Serraÿmunicipality[edit],0,21,"21,"
3320 -ÿCabril,1,0,"0,"
3320 -ÿDornelas do Zˆzere,1,1,"1,"
3320 -ÿFajÆo,1,2,"2,"
3320 -ÿJaneiro de Baixo,1,3,"3,"
3320 -ÿMachio,1,4,"4,"
3320 -ÿPampilhosa da Serra,1,5,"5,"
3320 -ÿPessegueiro,1,6,"6,"
3320 -ÿPortela do Fojo,1,7,"7,"
3320 -ÿUnhais-o-Velho,1,8,"8,"
3320 -ÿVidual,1,9,"9,"
Penacovaÿmunicipality[edit],0,10,"10,"
3360 -ÿCarvalho,1,0,"0,"
3360 -ÿFigueira de LorvÆo,1,1,"1,"
3360 -ÿFri£mes,1,2,"2,"
3360 -ÿLorvÆo,1,3,"3,"
3360 -ÿOliveira do Mondego,1,4,"4,"
3360 -ÿParadela,1,5,"5,"
3360 -ÿPenacova,1,6,"6,"
3360 -ÿSÆo Paio do Mondego,1,7,"7,"
3360 -ÿSÆo Pedro de Alva,1,8,"8,"
3360 -ÿSazes do LorvÆo,1,9,"9,"
3360 -ÿTravanca do Mondego,1,10,"10,"
Penela Municipality[edit],0,11,"11,"
3230 -ÿCumeeira,1,0,"0,"
3230 -ÿEspinhal,1,1,"1,"
3230 -ÿPodentes,1,2,"2,"
3230 -ÿRaba‡al,1,3,"3,"
3230 -ÿSanta Euf‚mia,1,4,"4,"
3230 -ÿSÆo Miguel,1,5,"5,"
Soure Municipality[edit],0,6,"6,"
3130 -ÿAlfarelos,1,0,"0,"
3130 -ÿBrunh¢s,1,1,"1,"
3130 -ÿDegracias,1,2,"2,"
3130 -ÿFigueir¢ do Campo,1,3,"3,"
3130 -ÿGesteira,1,4,"4,"
3130 -ÿGranja do Ulmeiro,1,5,"5,"
3130 -ÿPombalinho,1,6,"6,"
3130 -ÿSamuel,1,7,"7,"
3130 -ÿSoure,1,8,"8,"
3130 -ÿTap‚us,1,9,"9,"
3130 -ÿVila Nova de An‡os,1,10,"10,"
3130 -ÿVinha da Rainha,1,11,"11,"
T bua Municipality[edit],0,12,"12,"
3420 -ÿµzere,1,0,"0,"
3420 -ÿCandosa,1,1,"1,"
3420 -ÿCarapinha,1,2,"2,"
3420 -ÿCovas,1,3,"3,"
3420 -ÿCovelo,1,4,"4,"
3420 -ÿEspariz,1,5,"5,"
3420 -ÿMeda de Mouros,1,6,"6,"
3420 -ÿMidäes,1,7,"7,"
3420 -ÿMouronho,1,8,"8,"
3420 -ÿPinheiro de Coja,1,9,"9,"
3420 -ÿP¢voa de Midäes,1,10,"10,"
3420 -ÿSÆo JoÆo da Boa Vista,1,11,"11,"
3420 -ÿSinde,1,12,"12,"
3420 -ÿT bua,1,13,"13,"
3420 -ÿVila Nova de Oliveirinha,1,14,"14,"
Vila Nova de Poiaresÿmunicipality[edit],0,15,"15,"
3350 -ÿArrifana,1,0,"0,"
3350 -ÿLavegadas,1,1,"1,"
3350 -ÿPoiares (Santo Andr‚),1,2,"2,"
3350 -ÿSÆo Miguel de Poiares,1,3,"3,"
,0,4,"4,"
vora District[edit],0,0,"0,"
Alandroal Municipality[edit],0,0,"0,"
7250 -ÿNossa Senhora da Concei‡Æo,1,0,"0,"
7250 -ÿJuromenha (Nossa Senhora do Loreto),1,1,"1,"
7200 -ÿSantiago Maior,1,2,"2,"
7250 -ÿSanto Ant¢nio (Capelins),1,3,"3,"
7250 -ÿSÆo Pedro Terena,1,4,"4,"
7250 -ÿSÆo Br s dos Matos,1,5,"5,"
Arraiolosÿmunicipality[edit],0,6,"6,"
7040 -ÿArraiolos,1,0,"0,"
7040 -ÿIgrejinha,1,1,"1,"
7040 -ÿSanta Justa,1,2,"2,"
7040 -ÿSÆo Greg¢rio,1,3,"3,"
7040 -ÿSÆo Pedro Gafanhoeira,1,4,"4,"
7040 -ÿVimieiro,1,5,"5,"
7040 -ÿSabugueiro,1,6,"6,"
Borba Municipality[edit],0,7,"7,"
7150 -ÿMatriz (Borba),1,0,"0,"
7150 -ÿOrada,1,1,"1,"
7150 -ÿRio de Moinhos,1,2,"2,"
7150 -ÿSÆo Bartolomeu,1,3,"3,"
Estremozÿmunicipality[edit],0,4,"4,"
7100 -ÿArcos,1,0,"0,"
7100 -ÿGl¢ria,1,1,"1,"
7100 -ÿSanta Maria,1,2,"2,"
7100 -ÿvora Monte (Santa Maria),1,3,"3,"
7100 -ÿSanta Vit¢ria do Ameixial,1,4,"4,"
7100 -ÿSanto Andr‚ Estremoz,1,5,"5,"
7100 -ÿSanto EstevÆo,1,6,"6,"
7100 -ÿSÆo Bento do Ameixial,1,7,"7,"
7100 -ÿSÆo Bento de Ana Loura,1,8,"8,"
7100 -ÿSÆo Bento do Corti‡o,1,9,"9,"
7100 -ÿSÆo Domingos de Ana Loura,1,10,"10,"
7100 -ÿSÆo Louren‡o de MamporcÆo,1,11,"11,"
7100 -ÿVeiros,1,12,"12,"
vora Municipality[edit],0,13,"13,"
7000 -ÿNossa Senhora da Boa F‚,1,0,"0,"
7000 -ÿNossa Senhora Gra‡a do Divor,1,1,"1,"
7005 -ÿNossa Senhora de Machede,1,2,"2,"
7000 -ÿNossa Senhora da Tourega,1,3,"3,"
7000 -ÿSanto AntÆo,1,4,"4,"
7005 -ÿSÆo Bento do Mato,1,5,"5,"
7004 -ÿSÆo Mamede,1,6,"6,"
7005 -ÿSÆo Man‡os,1,7,"7,"
7005 -ÿSÆo Miguel de Machede,1,8,"8,"
7200 -ÿSÆo Vicente do Pigeiro,1,9,"9,"
7005 -ÿTorre de Coelheiros,1,10,"10,"
7000 -ÿSÆo SebastiÆo da Giesteira,1,11,"11,"
7005 -ÿCanaviais,1,12,"12,"
7000 -ÿNossa Senhora de Guadalupe,1,13,"13,"
7005 -ÿBacelo,1,14,"14,"
7005 -ÿHorta das Figueiras,1,15,"15,"
7000 -ÿMalagueira,1,16,"16,"
7005 -ÿvora (S‚ e SÆo Pedro),1,17,"17,"
7005 -ÿSenhora da Sa£de,1,18,"18,"
Montemor-o-Novoÿmunicipality[edit],0,19,"19,"
7050 -ÿCabrela,1,0,"0,"
7050 -ÿLavre,1,1,"1,"
7050 -ÿNossa Senhora do Bispo,1,2,"2,"
7050 -ÿNossa Senhora da Vila,1,3,"3,"
7050 -ÿSantiago do Escoural,1,4,"4,"
7050 -ÿSÆo Crist¢vÆo,1,5,"5,"
7050 -ÿCiborro,1,6,"6,"
7050 -ÿCorti‡adas de Lavre,1,7,"7,"
7050 -ÿSilveiras,1,8,"8,"
7050 -ÿForos de Vale Figueira,1,9,"9,"
Mora Municipality[edit],0,10,"10,"
7490 -ÿBrotas,1,0,"0,"
7490 -ÿCabe‡Æo,1,1,"1,"
7490 -ÿMora,1,2,"2,"
7490 -ÿPavia,1,3,"3,"
MourÆoÿmunicipality[edit],0,4,"4,"
7240 -ÿGranja,1,0,"0,"
7240 -ÿLuz,1,1,"1,"
7240 -ÿMourÆo,1,2,"2,"
Portel Municipality[edit],0,3,"3,"
7220 -ÿAlqueva,1,0,"0,"
7220 -ÿAmieira,1,1,"1,"
7220 -ÿMonte do Trigo,1,2,"2,"
7220 -ÿOriola,1,3,"3,"
7220 -ÿPortel,1,4,"4,"
7220 -ÿSantana,1,5,"5,"
7220 -ÿSÆo Bartolomeu do Outeiro,1,6,"6,"
7220 -ÿVera Cruz,1,7,"7,"
Redondo Municipality[edit],0,8,"8,"
7200 -ÿMontoito,1,0,"0,"
7170 -ÿRedondo,1,1,"1,"
Reguengos de Monsarazÿmunicipality[edit],0,2,"2,"
7200 -ÿCampo,1,0,"0,"
7200 -ÿCorval,1,1,"1,"
7200 -ÿMonsaraz,1,2,"2,"
7200 -ÿReguengos de Monsaraz,1,3,"3,"
7200 -ÿCampinho,1,4,"4,"
Vendas Novasÿmunicipality[edit],0,5,"5,"
7080 -ÿVendas Novas,1,0,"0,"
2965 -ÿLandeira,1,1,"1,"
Viana do Alentejoÿmunicipality[edit],0,2,"2,"
7090 -ÿAlc ‡ovas,1,0,"0,"
7090 -ÿViana do Alentejo,1,1,"1,"
7090 -ÿAguiar,1,2,"2,"
Vila Vi‡osaÿmunicipality[edit],0,3,"3,"
7160 -ÿBencatel,1,0,"0,"
7160 -ÿCiladas,1,1,"1,"
7160 -ÿConcei‡Æo,1,2,"2,"
7160 -ÿPardais,1,3,"3,"
7160 -ÿSÆo Bartolomeu,1,4,"4,"
,0,5,"5,"
Faro District[edit],0,0,"0,"
Albufeiraÿmunicipality[edit],0,0,"0,"
8200 -ÿAlbufeira,1,0,"0,"
8200 -ÿGuia,1,1,"1,"
8200 -ÿPaderne,1,2,"2,"
8200 -ÿFerreiras,1,3,"3,"
8200 -ÿOlhos de µgua,1,4,"4,"
Alcoutimÿmunicipality[edit],0,5,"5,"
8970 -ÿAlcoutim,1,0,"0,"
8970 -ÿGiäes,1,1,"1,"
8970 -ÿMartim Longo,1,2,"2,"
8970 -ÿPereiro,1,3,"3,"
8970 -ÿVaqueiros,1,4,"4,"
Aljezurÿmunicipality[edit],0,5,"5,"
8670 -ÿAljezur,1,0,"0,"
8670 -ÿBordeira,1,1,"1,"
8670 -ÿOdeceixe,1,2,"2,"
8670 -ÿRogil,1,3,"3,"
Castro Marimÿmunicipality[edit],0,4,"4,"
8950 -ÿAzinhal,1,0,"0,"
8950 -ÿCastro Marim,1,1,"1,"
8950 -ÿOdeleite,1,2,"2,"
8950 -ÿAltura,1,3,"3,"
Faro Municipality[edit],0,4,"4,"
8005 -ÿConcei‡Æo,1,0,"0,"
8005 -ÿEstoi,1,1,"1,"
8005 -ÿSanta B rbara de Nexe,1,2,"2,"
8000 -ÿSÆo Pedro,1,3,"3,"
8000 -ÿS‚,1,4,"4,"
8005 -ÿMontenegro,1,5,"5,"
Lagoaÿmunicipality[edit],0,6,"6,"
8400 -ÿEst“mbar,1,0,"0,"
8400 -ÿFerragudo,1,1,"1,"
8400 -ÿLagoa (freguesia),1,2,"2,"
8400 -ÿPorches (Lagoa),1,3,"3,"
8400 -ÿCarvoeiro (Lagoa),1,4,"4,"
8400 -ÿParchal,1,5,"5,"
Lagosÿmunicipality[edit],0,6,"6,"
8600 -ÿBarÆo de SÆo JoÆo,1,0,"0,"
8600 -ÿBensafrim,1,1,"1,"
8600 -ÿLuz,1,2,"2,"
8600 -ÿOdi xere,1,3,"3,"
8600 -ÿSanta Maria,1,4,"4,"
8600 -ÿSÆo SebastiÆo,1,5,"5,"
Loul‚ÿmunicipality[edit],0,6,"6,"
8135 -ÿAlmancil,1,0,"0,"
8100 -ÿAlte,1,1,"1,"
8100 -ÿAmeixial,1,2,"2,"
8100 -ÿBoliqueime,1,3,"3,"
8125 -ÿQuarteira,1,4,"4,"
8100 -ÿQueren‡a,1,5,"5,"
8100 -ÿSalir,1,6,"6,"
8100 -ÿSÆo Clemente,1,7,"7,"
8100 -ÿSÆo SebastiÆo,1,8,"8,"
8100 -ÿBenafim,1,9,"9,"
8100 -ÿT“r,1,10,"10,"
Monchiqueÿmunicipality[edit],0,11,"11,"
8550 -ÿAlferce,1,0,"0,"
8550 -ÿMarmelete,1,1,"1,"
8550 -ÿMonchique,1,2,"2,"
OlhÆoÿmunicipality[edit],0,3,"3,"
8700 -ÿFuseta,1,0,"0,"
8700 -ÿMoncarapacho,1,1,"1,"
8700 -ÿOlhÆo,1,2,"2,"
8700 -ÿPechÆo,1,3,"3,"
8700 -ÿQuelfes,1,4,"4,"
PortimÆoÿmunicipality[edit],0,5,"5,"
8500 -ÿAlvor,1,0,"0,"
8500 -ÿMexilhoeira Grande,1,1,"1,"
8500 -ÿPortimÆo,1,2,"2,"
SÆo Br s de Alportelÿmunicipality[edit],0,3,"3,"
8150 -ÿSÆo Br s de Alportel,1,0,"0,"
Silves Municipality[edit],0,1,"1,"
8365 -ÿAlcantarilha,1,0,"0,"
8365 -ÿAlgoz,1,1,"1,"
8365 -ÿArma‡Æo de Pˆra,1,2,"2,"
8365 -ÿPˆra,1,3,"3,"
8375 -ÿSÆo Bartolomeu de Messines,1,4,"4,"
8375 -ÿSÆo Marcos da Serra,1,5,"5,"
8300 -ÿSilves,1,6,"6,"
8365 -ÿTunes,1,7,"7,"
Taviraÿmunicipality[edit],0,8,"8,"
8800 -ÿCachopo,1,0,"0,"
8800 -ÿConcei‡Æo,1,1,"1,"
8800 -ÿLuz de Tavira,1,2,"2,"
8800 -ÿSanta Catarina da Fonte do Bispo,1,3,"3,"
8800 -ÿSanta Maria de Tavira,1,4,"4,"
8800 -ÿSantiago Tavira,1,5,"5,"
8800 -ÿSanto EstˆvÆo,1,6,"6,"
8800 -ÿSanta Luzia,1,7,"7,"
